name,score,developer,publisher,owners,players_forever,players_2weeks,score_ratio(+to-),days_since_sale,average_days_per_sale,average_days_per_sale_variance 
Lift It,9,89AM Studio,89AM Studio,39363,34410,1825,1.03,-1.00,-1.00,-1.00
Mesozoica,19,"DreamInCode B.V., Squadron Interactive",DreamInCode B.V.,3910,3910,1561,1.72,-1.00,-1.00,-1.00
ONRAID,40,Pragmatix Ltd,Pragmatix Ltd,520584,419178,12773,3.50,-1.00,-1.00,-1.00
Hell Quest,8,YarGri,YarGri,33628,5996,782,0.93,-1.00,-1.00,-1.00
SMASH+GRAB,42,United Front Games,United Front Games,14598,14077,0,3.73,-1.00,-1.00,-1.00
MicroVolts Surge,28,NQ Games,Rock Hippo Productions,983817,478353,781,2.34,-1.00,-1.00,-1.00
Sacred Gold,53,Ascaron Entertainment ltd.,Strategy First,204375,147286,2868,5.16,-1.00,-1.00,-1.00
Tower Dwellers,13,ECC GAMES SP. Z O.O.,ECC GAMES SP. Z O.O.,3389,2868,778,1.27,-1.00,-1.00,-1.00
Jack's Gang,,André Bertaglia,André Bertaglia,141290,132688,784,0.00,-1.00,-1.00,-1.00
"Warhammer 40,000: Inquisitor - Martyr",44,NeocoreGames,NeocoreGames,38320,37538,7560,3.93,-1.00,-1.00,-1.00
Awesomenauts - the 2D moba,59,Ronimo Games,Ronimo Games,2366740,1751268,33107,5.93,-1.00,-1.00,-1.00
Combat Cats,78,Dingo Dango,Dingo Dango,4432,1561,0,10.67,-1.00,-1.00,-1.00
Combat Air Patrol 2: Military Flight Simulator,13,Sim155 Limited,Sim155 Limited,7038,6256,778,1.35,-1.00,-1.00,-1.00
NightmareZ,,Anamik Majumdar,Anamik Majumdar,50051,39102,784,1.00,-1.00,-1.00,-1.00
Full-On Paintball,,Gamepainters,Gamepainters,785,0,0,0.00,-1.00,-1.00,-1.00
Out There Somewhere,86,MiniBoss,EQGames,721049,466362,1825,13.76,-1.00,-1.00,-1.00
World of Warships,35,Wargaming Group Limited,Wargaming Group Limited,1283081,621468,178046,2.89,-1.00,-1.00,-1.00
Face It - A game to fight inner demons,44,"Tlön Studios, Ilex Games",Gamestorming,78726,50051,1570,3.89,-1.00,-1.00,-1.00
Avalanche 2: Super Avalanche,65,Beast Games,Midnight City,79769,27372,1176,7.24,-1.00,-1.00,-1.00
THE KING OF FIGHTERS '98 ULTIMATE MATCH FINAL EDITION,53,"SNK CORPORATION, Code Mystics",SNK CORPORATION,129299,78466,4432,5.15,-1.00,-1.00,-1.00
Republique,39,Camouflaj,"GungHo Online Entertainment America, Inc.",32325,19291,0,3.18,-1.00,-1.00,-1.00
Rise of One,,Rise of One,Rise of One,12773,1303,0,0.00,-1.00,-1.00,-1.00
SUPERHOT VR,71,SUPERHOT Team,SUPERHOT Team,117307,105577,22158,8.69,-1.00,-1.00,-1.00
Bric - The Casual Indie Game,100,Theodore Palser,Theodore Palser,3650,0,0,3.00,-1.00,-1.00,-1.00
La-Mulana,51,NIGORO,AGM PLAYISM,257033,160320,1961,4.79,-1.00,-1.00,-1.00
River City Melee : Battle Royal Special,2,Arc System Works,"H2 Interactive Co., Ltd.",1825,784,0,0.50,-1.00,-1.00,-1.00
Nova Blitz,30,Dragon Foundry,"Dragon Foundry, Hashbang Games",34671,11991,0,2.50,-1.00,-1.00,-1.00
Man O' War: Corsair - Warhammer Naval Battles,28,Evil Twin Artworks,Evil Twin Artworks,21376,20594,784,2.41,-1.00,-1.00,-1.00
GUILTY GEAR Xrd -REVELATOR-,89,Arc System Works,Arc System Works,96453,88893,17205,17.02,-1.00,-1.00,-1.00
Pavel Quest,53,"ElevenSeventy, LLC","ElevenSeventy, LLC",1303,778,0,5.00,-1.00,-1.00,-1.00
Dragon's Wake,65,Brainbox Software,Brainbox Software,16944,9906,0,6.79,-1.00,-1.00,-1.00
Conductor,92,Overflow,Overflow,4171,3128,778,23.75,-1.00,-1.00,-1.00
Time Clickers,67,Proton Studio Inc, ,1035172,806814,13295,7.95,-1.00,-1.00,-1.00
Dropship Down,14,Fast Forward Games,Fast Forward Games,1825,1953,0,1.40,-1.00,-1.00,-1.00
Need For Drink,37,Room710Games,Room710Games,37278,31021,1564,3.09,-1.00,-1.00,-1.00
Umineko: Golden Fantasia,47,07th Expansion,MangaGamer,4692,4171,1569,4.00,-1.00,-1.00,-1.00
Inside Me,47,SnowBiteGames,SnowBiteGames,1303,782,0,4.00,-1.00,-1.00,-1.00
Dawn of Warriors,3,Flame Spirit Software Studio,Conch Entertainment Corporation,782,784,0,0.55,-1.00,-1.00,-1.00
Weird Hero,56,Snail-Ninja Studio,Snail-Ninja Studio,8603,4432,0,5.64,-1.00,-1.00,-1.00
Half Past Impossible,,StarSystemStudios™,StarSystemStudios™,3515,0,0,0.00,-1.00,-1.00,-1.00
APOX,1,BlueGiant Interactive,BlueGiant Interactive,42491,27372,785,0.42,-1.00,-1.00,-1.00
Space Scaven,100,Moon Pub Games,Moon Pub Games,14859,5214,0,17.00,-1.00,-1.00,-1.00
Versus: Battle of the Gladiator,15,Netker Inc.,Netker Inc.,63346,40667,1562,1.49,-1.00,-1.00,-1.00
Space Conquest,,NyanBlade,Masai Interactive,4692,1564,0,0.00,-1.00,-1.00,-1.00
Dungeons Of Kragmor,4,Digital Homicide Studios,Digital Homicide Studios,120175,4432,778,0.65,-1.00,-1.00,-1.00
TO THE TOP,82,Electric Hat Games LLC.,Electric Hat Games LLC.,14598,12252,1961,12.68,-1.00,-1.00,-1.00
Lost Planet: Extreme Condition,39,"CAPCOM Co., Ltd.",Capcom,463755,283623,782,3.21,-1.00,-1.00,-1.00
Juanito Arcade Mayhem,99,Game Ever Studio,Game Ever Studio,1562,1172,0,55.50,-1.00,-1.00,-1.00
LEGO Jurassic World,56,"TT Games Ltd, Feral Interactive (Mac)","Warner Bros. Interactive Entertainment, Feral Interactive (Mac)",348794,285448,14598,5.61,-1.00,-1.00,-1.00
Fat Chicken,33,"Mighty Rabbit Studios, Relevant Games",Relevant Games,7299,5735,0,2.73,-1.00,-1.00,-1.00
BuildMoreCubes,10,HA Studio Ltd.,HA Studio Ltd.,2346,1825,0,1.12,-1.00,-1.00,-1.00
Ace of Protectors,11,xPathfinder,xPathfinder Games,11731,7820,0,1.16,-1.00,-1.00,-1.00
PlanetSide 2,53,Daybreak Game Company,Daybreak Game Company,8955763,5618760,122000,4.96,-1.00,-1.00,-1.00
Good Robot,65,Pyrodactyl,Pyrodactyl,31543,16423,785,7.09,-1.00,-1.00,-1.00
Divided We Fall,13,KAVA Game Studio,KAVA Game Studio,4692,4692,0,1.38,-1.00,-1.00,-1.00
Tron 2.0,67,"Monolith Productions, Inc.",Disney Interactive,41709,25547,0,7.46,-1.00,-1.00,-1.00
Metal Planet,0,Pavel Bulatov,Pavel Bulatov,41970,28414,0,0.21,-1.00,-1.00,-1.00
ARMED SEVEN,89,ASTRO PORT,Nyu Media,6256,3910,784,16.50,-1.00,-1.00,-1.00
Yet Another Zombie Defense HD,47,Awesome Games Studio,Awesome Games Studio,49790,38842,2085,4.17,-1.00,-1.00,-1.00
Cosmic Trip,74,Funktronic Labs,Funktronic Labs,12252,10427,1172,9.28,-1.00,-1.00,-1.00
Mirror's Edge,67,DICE,Electronic Arts,2793478,1874832,17205,7.97,-1.00,-1.00,-1.00
Tactical Intervention,23,"FIX Korea, Co.LTD, FIX Games, Co. LTD","FIX Games, Co. LTD",2864384,1511179,2607,2.02,-1.00,-1.00,-1.00
Cargo! The Quest for Gravity,44,Ice-Pick Lodge,"bitComposer Games, Viva Media, Nordic Games, Ice-Pick Lodge",66996,28414,0,3.80,-1.00,-1.00,-1.00
Infestation: The New Z,8,Fredaikis AB,Fredaikis AB,5094006,3871402,169965,0.94,-1.00,-1.00,-1.00
Dead Alliance,1,"IllFonic, Psyop Games",Maximum Games,7560,1043,778,0.40,-1.00,-1.00,-1.00
Adventures Of Fluzz,14,TopArcadeApps,TopArcadeApps,17466,1825,0,1.42,-1.00,-1.00,-1.00
Crispy Chicken,9,Axyos Games,Axyos Games,54743,41449,2333,1.08,-1.00,-1.00,-1.00
Warhammer: Vermintide VR - Hero Trials,18,Fatshark,Fatshark,33889,19812,1172,1.67,-1.00,-1.00,-1.00
Rebound,,Bilal Itani,Bilal Itani,4171,3128,0,0.00,-1.00,-1.00,-1.00
Crash Time 2,10,,Meridian4,581323,221581,1825,1.12,-1.00,-1.00,-1.00
A City Sleeps,21,"Harmonix Music Systems, Inc","Harmonix Music Systems, Inc",20333,10167,0,1.79,-1.00,-1.00,-1.00
Shapes of Gray,92,Secret Tunnel Entertainment,Secret Tunnel Entertainment,5996,4171,0,20.50,-1.00,-1.00,-1.00
The Ship: Single Player,31,Outerlight Ltd.,Blazing Griffin Ltd.,1303415,369648,1555,2.59,-1.00,-1.00,-1.00
Caretaker Retribution,23,Xiotex Studios Ltd,Xiotex Studios Ltd,784,0,0,2.00,-1.00,-1.00,-1.00
Furi,78,The Game Bakers,The Game Bakers,296136,154324,17726,10.77,-1.00,-1.00,-1.00
MILF,13,PinkySwear,PinkySwear,1043,782,0,1.30,-1.00,-1.00,-1.00
Line of Sight,13,BlackSpot Entertainment,BlackSpot Entertainment,2295835,1831037,37799,1.33,-1.00,-1.00,-1.00
Kane and Lynch: Dead Men,16,IO Interactive,Square Enix,443943,156670,781,1.56,-1.00,-1.00,-1.00
Space Impact Glitch,13,Ultimate Glitch,Enjoy Games,39624,31543,778,1.30,-1.00,-1.00,-1.00
Robot Squad Simulator 2017,40,Bit Golem,PlayWay S.A.,5996,3389,785,3.50,-1.00,-1.00,-1.00
Yohjo Simulator,11,DEADFACTORY,Sekai Project,5996,3389,784,1.19,-1.00,-1.00,-1.00
TDP4:Team Battle,4,JAVELIN OÜ,JAVELIN OÜ,241653,123042,1043,0.69,-1.00,-1.00,-1.00
Shuyan Saga,71,Lofty Sky Entertainment Inc.,Lofty Sky Entertainment Inc.,1825,1043,0,8.38,-1.00,-1.00,-1.00
Kung Fury: Street Rage,74,Hello There AB,Hello There AB,88632,70906,2342,9.51,-1.00,-1.00,-1.00
Crash Force,82,Ascanio Entertainment,Ascanio Entertainment,30761,23461,0,12.00,-1.00,-1.00,-1.00
Salt and Sanctuary,86,Ska Studios,Ska Studios,301610,272674,15641,13.39,-1.00,-1.00,-1.00
MSI Electric City: Core Assault,62,HyperBot Studio,MSI,30761,16162,1568,6.20,-1.00,-1.00,-1.00
Broken Bots,62,Bunnycopter,Bunnycopter,9385,6778,0,6.40,-1.00,-1.00,-1.00
Gatling Gears,51,Vanguard Games,Vanguard Games,43013,21115,784,4.59,-1.00,-1.00,-1.00
Legends of the Universe - StarCore,39,LunarCore Games,LunarCore Games,4692,3389,0,3.20,-1.00,-1.00,-1.00
Satellite Reign,35,5 Lives Studios,5 Lives Studios,400930,214021,4692,3.00,-1.00,-1.00,-1.00
Tattletail,71,Waygetter Electronics,"Little Flag Software, LLC",87850,60478,4171,8.18,-1.00,-1.00,-1.00
Grand Theft Auto V,25,Rockstar North,Rockstar Games,9864503,9647876,2149331,2.16,-1.00,-1.00,-1.00
Wrestling Revolution 3D,49,MDickie,MDickie,3650,3389,2354,4.41,-1.00,-1.00,-1.00
Tkl Online,19,KURONEKO SOFT,KURONEKO SOFT,1564,1564,0,1.75,-1.00,-1.00,-1.00
Rising Storm 2: Vietnam,39,"Antimatter Games, Tripwire Interactive",Tripwire Interactive,481742,446029,83419,3.32,-1.00,-1.00,-1.00
Rover Rescue,4,Pointscape,KISS ltd,169444,5214,0,0.66,-1.00,-1.00,-1.00
Sos i Pie Sos,100,Easy game,Game for people,1303,782,782,10.00,-1.00,-1.00,-1.00
Possessed,17,Moonz Studioz,Moonz Studioz,5735,0,0,1.57,-1.00,-1.00,-1.00
Heavy Destinies,,MarksApp,MarksApp,4692,0,0,0.00,-1.00,-1.00,-1.00
Warriors & Castles,47,Estudio Raed Wulf,Estudio Raed Wulf,13816,2607,0,4.00,-1.00,-1.00,-1.00
StandPoint,31,Unruly Attractions,,1825,781,0,2.60,-1.00,-1.00,-1.00
State of Decay: YOSE,37,Undead Labs,Microsoft Studios,322204,294832,18248,3.09,-1.00,-1.00,-1.00
Habitus,,frozenen,frozenen,7038,0,0,0.75,-1.00,-1.00,-1.00
Grim Dragons,47,Punkster Inc.,Punkster Inc.,3650,1555,0,4.00,-1.00,-1.00,-1.00
Another Rocket Game,,Games By Nemiz,Games By Nemiz,784,0,0,0.00,-1.00,-1.00,-1.00
A Bastard's Tale,49,No Pest Productions,No Pest Productions,23722,17466,1043,4.46,-1.00,-1.00,-1.00
Super MNC,24,Uber Entertainment,Uber Entertainment,1540115,755199,5214,2.08,-1.00,-1.00,-1.00
H1Z1,17,Daybreak Game Company,Daybreak Game Company,8254526,7096572,724177,1.60,-1.00,-1.00,-1.00
Purgatory: War of the Damned,9,Ironsun Studios,KISS ltd,32846,2607,778,1.00,-1.00,-1.00,-1.00
Adam and Eve: The Game - Chapter 1,,Religious Studios,Religious Studios,48748,3910,781,0.38,-1.00,-1.00,-1.00
PLUTONIUM,17,Ch.ZBK,Ch.ZBK,4692,1564,0,1.58,-1.00,-1.00,-1.00
Shovel Knight: Specter of Torment,74,Yacht Club Games,Yacht Club Games,7299,5996,782,10.00,-1.00,-1.00,-1.00
One More Line,37,SMG Studio,SMG Studio,17205,9906,0,3.00,-1.00,-1.00,-1.00
Cybercube,59,Just1337 Studio,Just1337 Publisher,1303,0,0,6.00,-1.00,-1.00,-1.00
DWVR,89,Mad Triangles,Mad Triangles,1172,1172,0,18.00,-1.00,-1.00,-1.00
Savant - Ascent,86,D-Pad Studio,,219756,107923,781,14.40,-1.00,-1.00,-1.00
Shark Attack Deathmatch 2,44,Lighthouse Games Studio,Lighthouse Games Studio,101145,77684,781,3.94,-1.00,-1.00,-1.00
Kill to Collect,42,Pieces Interactive,"Pieces Interactive, THQ Nordic",6778,4692,784,3.58,-1.00,-1.00,-1.00
Toy Soldiers: Complete,37,"Signal Studios, Krome Studios",Signal Studios,70645,61000,778,3.15,-1.00,-1.00,-1.00
Shadow Bug,99,Muro Studios,Muro Studios,5474,781,0,60.00,-1.00,-1.00,-1.00
Dungeons & Dragons Online,35,"Standing Stone Games, LLC","Standing Stone Games, LLC",916822,465058,11470,2.87,-1.00,-1.00,-1.00
Stained,12,RealAxis Software,RealAxis Software,3650,2607,0,1.23,-1.00,-1.00,-1.00
Achievement Hunter: Offensive,14,putilin_industries,putilin_industries,2085,1952,0,1.44,-1.00,-1.00,-1.00
Dungeon Defenders,82,Trendy Entertainment,Trendy Entertainment,1960857,1648559,16944,11.51,-1.00,-1.00,-1.00
GRANADO ESPADA,7,"HANBITSOFT, INC., IMC GAMES CO.,LTD.",REDBANA CORPORATION,96192,42231,1561,0.87,-1.00,-1.00,-1.00
Not Dying Today,51,9TH.ART,Forever Entertainment S. A.,7560,4692,1555,4.78,-1.00,-1.00,-1.00
Fatal Fight,47,Fighting Games,Fighting Games,1825,1569,0,4.09,-1.00,-1.00,-1.00
Hyperide VR,,Kool2Play,Kool2Play,1825,0,0,0.00,-1.00,-1.00,-1.00
Two Brothers,1,Ackk Studios,Ackk Studios,104012,11209,0,0.38,-1.00,-1.00,-1.00
Alice: Madness Returns,67,Spicy Horse Games,Electronic Arts,631374,480439,2607,7.58,-1.00,-1.00,-1.00
Prophour23,28,The Secret Pie,"The Secret Pie, Kurki.games",21376,10427,0,2.33,-1.00,-1.00,-1.00
Styx: Master of Shadows,51,Cyanide Studio,Focus Home Interactive,598528,409533,5214,4.81,-1.00,-1.00,-1.00
Blood Feed,25,Racing Bros,ANPA.US,15120,7299,782,2.19,-1.00,-1.00,-1.00
Tap Tap Infinity,35,Scary Bee LLC,Scary Bee LLC,315426,198901,1043,2.91,-1.00,-1.00,-1.00
A Mass of Dead,9,Dev Arc,Dev Arc,2085,1825,0,1.00,-1.00,-1.00,-1.00
Circa Infinity,89,Kenny Sun,Kenny Sun,10427,8342,785,17.00,-1.00,-1.00,-1.00
Victory Command,,Petroglyph,PlayGrid Games,232790,69342,0,2.58,-1.00,-1.00,-1.00
Angeldust,16,Frank Lucas,Metagaming B.V.,260162,211414,2346,1.54,-1.00,-1.00,-1.00
Mimic Arena,100,Tiny Horse Games,Tiny Horse Games,63867,2342,778,4.00,-1.00,-1.00,-1.00
Zuma's Revenge!,89,"PopCap Games, Inc.","PopCap Games, Inc.",111051,56308,1043,18.53,-1.00,-1.00,-1.00
The Chosen RPG,30,Little Big Lee,Red Dahlia,208546,128517,1043,2.45,-1.00,-1.00,-1.00
Mabinogi,33,NEXON Korea Corp.,Nexon America Inc.,712968,271632,8081,2.78,-1.00,-1.00,-1.00
Rodina,86,Elliptic Games,Elliptic Games,42491,40667,1043,14.80,-1.00,-1.00,-1.00
P.A.M.E.L.A.,31,NVYVE® Studios,NVYVE® Studios,16162,14338,778,2.59,-1.00,-1.00,-1.00
Gon' E-Choo!,51,Marc Ellis,Marc Ellis,10949,7299,0,4.69,-1.00,-1.00,-1.00
Fly Simulator,28,HFM Games,HFM Games,16944,8342,784,2.36,-1.00,-1.00,-1.00
Robot Roller-Derby Disco Dodgeball,82,Erik Asmussen,82 Apps,478093,283884,4171,13.20,-1.00,-1.00,-1.00
Stealth Labyrinth,13,Reddoll Srl,IV Production,3389,3888,0,1.36,-1.00,-1.00,-1.00
Tactical Operations,,LillyWelland inc.,Bitlock Studio,785,0,0,0.00,-1.00,-1.00,-1.00
Color Symphony 2,100,REMIMORY,REMIMORY,3910,2085,784,29.00,-1.00,-1.00,-1.00
Brawlhalla,59,Blue Mammoth Games,Blue Mammoth Games,8889810,8197436,606349,6.02,-1.00,-1.00,-1.00
Great War 1914,,Musrka,Blue Whale Games,785,785,785,0.00,-1.00,-1.00,-1.00
Porcunipine,56,Big Green Pillow,Curve Digital,27632,14598,778,5.33,-1.00,-1.00,-1.00
FlatFatCat,,Rainware,Rainware,1569,785,785,0.00,-1.00,-1.00,-1.00
Assassins Creed Rogue,51,"Ubisoft Sofia, Ubisoft Kiev",Ubisoft,412661,273978,11470,4.86,-1.00,-1.00,-1.00
8BitBoy,35,AwesomeBlade,AwesomeBlade,292747,108705,784,2.93,-1.00,-1.00,-1.00
Bully: Scholarship Edition,56,Rockstar New England,Rockstar Games,958792,709318,14077,5.28,-1.00,-1.00,-1.00
Race & Destroy,1,AngryAngelGames,AngryAngelGames,1043,781,0,0.33,-1.00,-1.00,-1.00
BIT.TRIP VOID,40,Gaijin Games,Gaijin Games,52658,27632,0,3.38,-1.00,-1.00,-1.00
Sky Mercenaries,33,PolarityFlow,PolarityFlow,43795,28154,0,2.77,-1.00,-1.00,-1.00
Guncraft,9,Exato Games Studio,Reverb Triple XP,125910,98017,0,1.02,-1.00,-1.00,-1.00
Animallica,39,CRIO Studios,CRIO Studios,5214,4692,778,3.23,-1.00,-1.00,-1.00
The Hurricane of the Varstray -Collateral hazard-,37,Studio SiestA,"Rocket-Engine Co.,Ltd.",9645,4432,0,3.14,-1.00,-1.00,-1.00
Spider-Man™: Shattered Dimensions,19,Beenox,Activision,32585,25026,784,1.74,-1.00,-1.00,-1.00
Survive,3,Interactive Gaming Studios,Interactive Gaming Studios,1570,785,0,0.56,-1.00,-1.00,-1.00
Outpost L5,,VHornet Games,VHornet Games,2868,784,0,0.00,-1.00,-1.00,-1.00
Freestyle 2: Street Basketball,33,Joycity,Joycity,5227997,2530189,37538,2.81,-1.00,-1.00,-1.00
Penarium,62,Self Made Miracle,Team17 Digital Ltd,86025,27893,784,6.14,-1.00,-1.00,-1.00
Fist Slash: Of Ultimate Fury,39,Sinclair Strange,Rising Star Games,10427,6778,0,3.29,-1.00,-1.00,-1.00
The Last Leviathan,47,Super Punk Games,Super Punk Games,43795,40406,1564,4.17,-1.00,-1.00,-1.00
NANOS,59,Excamedia,,2868,2085,0,6.00,-1.00,-1.00,-1.00
Escape From BioStation,,Tusky Games,Tusky Games,6517,4692,785,0.00,-1.00,-1.00,-1.00
Rogue Operatives Hide and Seek,40,SIM720 LIMITED,SIM720 LIMITED,24765,15120,1562,3.50,-1.00,-1.00,-1.00
Pyre,74,Supergiant Games,Supergiant Games,185346,131645,10688,9.38,-1.00,-1.00,-1.00
Dragon Rage,42,Bulletproof Outlaws,Bulletproof Outlaws,5996,4692,778,3.70,-1.00,-1.00,-1.00
Battle Chef Brigade,97,Trinket Studios,Adult Swim Games,13034,11731,1564,44.25,-1.00,-1.00,-1.00
Santa's Big Adventures,23,Mihai Morosanu,Mihai Morosanu,50572,47444,0,2.00,-1.00,-1.00,-1.00
ANKI,30,Wojciech Krupinski,KrupinskiArt,58654,51094,1043,2.56,-1.00,-1.00,-1.00
BoxMaker,23,Silver Moon Internet,Silver Moon Internet,1172,1172,778,2.00,-1.00,-1.00,-1.00
Murder Miners,51,JForce Games,JForce Games,528665,308649,8081,4.75,-1.00,-1.00,-1.00
Infinitum,,VGstudio,VGstudio,209850,186649,1568,0.60,-1.00,-1.00,-1.00
Infinity Saga,51,ArcticFox223/CrimsonSpectreFox,ArcticFox223/CrimsonSpectreFox,5214,1825,781,4.67,-1.00,-1.00,-1.00
VoidExpanse,27,AtomicTorch Studio,AtomicTorch Studio,50312,34149,0,2.33,-1.00,-1.00,-1.00
Miner Meltdown,71,Mighty Pebble Games Inc,Mighty Pebble Games Inc,12513,7820,784,8.50,-1.00,-1.00,-1.00
Abandoned Knight,3,Daniil Hasanov,Dagestan Technology,198640,163709,0,0.56,-1.00,-1.00,-1.00
Bullet Life 2010,11,From Soy Sauce LLC,From Soy Sauce LLC,50572,3389,0,1.18,-1.00,-1.00,-1.00
DreamBreak,9,Aist,"Beatshapers, Digerati Distribution",10949,6517,0,1.03,-1.00,-1.00,-1.00
Crowe: The Drowned Armory,37,The Rogue Initiative,The Rogue Initiative,1043,782,778,3.00,-1.00,-1.00,-1.00
Ziggurat,65,Milkstone Studios,Milkstone Studios,323247,206722,2868,7.18,-1.00,-1.00,-1.00
Rising,100,Node Game Studios,Node Game Studios,4432,3650,0,5.00,-1.00,-1.00,-1.00
Brute,89,MGFM,MGFM,3910,3650,0,16.00,-1.00,-1.00,-1.00
Warfront Defenders: Westerplatte,30,Flying Robot Studios,New Reality Games,75598,1562,0,2.50,-1.00,-1.00,-1.00
Ring Runner: Flight of the Sages,56,Triple.B.Titles,Triple.B.Titles,160320,89154,785,5.53,-1.00,-1.00,-1.00
Gun Club VR,42,The Binary Mill,The Binary Mill,2085,1564,0,3.75,-1.00,-1.00,-1.00
In Game Adventure: Legend of Monsters,47,Alysson Moraes,Moraes Studio,15641,1825,785,4.21,-1.00,-1.00,-1.00
Trivia Vault: Video Game Trivia Deluxe,,Ripknot Systems,Ripknot Systems,2868,781,785,0.00,-1.00,-1.00,-1.00
Freedom Planet,92,GalaxyTrail,GalaxyTrail,269285,149371,2745,23.21,-1.00,-1.00,-1.00
stratO,62,Mark Chong,Mark Chong,12252,5735,0,6.62,-1.00,-1.00,-1.00
Nocturnal Hunt,47,Wolf Pack,Wolf Pack,781,778,0,4.00,-1.00,-1.00,-1.00
Stationeers,62,RocketWerkz,RocketWerkz,22940,22419,9906,6.57,-1.00,-1.00,-1.00
Break Time!,25,Space Toast Games,Space Toast Games,8863,5214,781,2.17,-1.00,-1.00,-1.00
Iron Madness,13,Inane Games,Inane Games,54222,9645,778,1.32,-1.00,-1.00,-1.00
Dead Sea,2,Phoenix Studio,"KISS ltd, Phoenix Studio",12513,4953,778,0.50,-1.00,-1.00,-1.00
Galaxy Annihilation,,Lunarhellgames,Lunarhellgames,2868,0,0,0.00,-1.00,-1.00,-1.00
Blastercell,,Robot Games,SmokinSkull,1043,1176,0,0.00,-1.00,-1.00,-1.00
Mute Crimson+,78,Iced Lizard Games,Iced Lizard Games,2346,2085,0,11.11,-1.00,-1.00,-1.00
VR Formula,53,SAT-BOX,SAT-BOX,1043,1176,0,5.00,-1.00,-1.00,-1.00
Alien Swarm: Reactive Drop,86,Reactive Drop Team,Reactive Drop Team,2061220,1587038,50051,14.11,-1.00,-1.00,-1.00
Mega Overload VR,95,Subdream Studios,Subdream Studios,4953,3389,784,25.00,-1.00,-1.00,-1.00
Head Shot,7,Indie Game Group,Indie Game Group,547956,414225,4171,0.90,-1.00,-1.00,-1.00
Tomb Raider - The Final Hours Digital Book,78,Geoff Keighley,Geoff Keighley,27632,16423,0,11.29,-1.00,-1.00,-1.00
GUILTY GEAR Xrd -SIGN-,86,Arc System Works,Arc System Works,110790,93064,2085,14.25,-1.00,-1.00,-1.00
Double Cubes,15,"Nova Dimension, Recreat4",Nova Dimension,37017,30761,0,1.48,-1.00,-1.00,-1.00
Between Me and The Night,42,RainDance LX,"Lace Games, KISS ltd",209589,112094,1176,3.67,-1.00,-1.00,-1.00
Super Happy Singh,78,Shrimasis Rout,Seed Games LLP,28154,26590,4692,11.00,-1.00,-1.00,-1.00
Deadbreed,18,Deadbreed AB,Deadbreed AB,784134,437947,3389,1.67,-1.00,-1.00,-1.00
Desolate Wastes: Vendor Chronicles,12,Rotatipyra,New Reality Games,233311,203593,4692,1.26,-1.00,-1.00,-1.00
Funk of Titans,37,A Crowd of Monsters,Merge Games,14598,7820,0,3.00,-1.00,-1.00,-1.00
God Of Thunder,,RDavis,RDavis,1043,0,0,0.00,-1.00,-1.00,-1.00
The Aquatic Adventure of the Last Human,39,YCJY,YCJY,15120,10688,778,3.18,-1.00,-1.00,-1.00
Puddle,33,Neko Entertainment,Neko Entertainment,107401,80030,785,2.75,-1.00,-1.00,-1.00
Wickland,12,Mad Ram Software,Mad Ram Software,104012,66213,0,1.25,-1.00,-1.00,-1.00
Brigand: Oaxaca,100,"Brian Lancaster, Laughing Coyote Software",Brian Lancaster,781,781,0,21.00,-1.00,-1.00,-1.00
End Of The Mine,37,Skirmish Entertainment,Skirmish Entertainment,1176,785,0,3.00,-1.00,-1.00,-1.00
Zone4,12,"Infovine co.,Ltd.","Infovine co.,Ltd.",175961,100884,778,1.24,-1.00,-1.00,-1.00
Santa's Special Delivery,100,"Drunk Robot Games, Effinvance",Cerulean Games,4432,3650,0,8.00,-1.00,-1.00,-1.00
Shu,56,"Coatsink, Secret Lunch",Coatsink,58654,15120,784,5.29,-1.00,-1.00,-1.00
Daikatana,9,,Square Enix,217149,27632,784,1.06,-1.00,-1.00,-1.00
Drifting Lands,59,Alkemi,Alkemi,9124,7820,0,5.70,-1.00,-1.00,-1.00
Devil's Dare ,25,Secret Base,Secret Base,24765,14859,781,2.21,-1.00,-1.00,-1.00
War Thunder,51,Gaijin Entertainment,Gaijin Entertainment,13559424,8242534,478093,4.63,-1.00,-1.00,-1.00
Strania - The Stella Machina -,97,G.rev Ltd.,G.rev Ltd.,3650,2085,0,35.00,-1.00,-1.00,-1.00
Cabelas African Adventures,9,,Activision,9124,5214,0,1.00,-1.00,-1.00,-1.00
Fight'N Rage,95,sebagamesdev,sebagamesdev,6778,6256,785,28.89,-1.00,-1.00,-1.00
Holopoint,82,"Alzan Studios, LLC","Alzan Studios, LLC",48748,46923,3137,12.51,-1.00,-1.00,-1.00
Chika Militant Cockroach,22,,,110530,81594,778,1.92,-1.00,-1.00,-1.00
Deltaplan Simulator,86,starmops,starmops,1825,784,0,15.00,-1.00,-1.00,-1.00
Neon Hardcore,21,Laush Dmitriy Sergeevich,Laush Studio,7560,1303,0,1.81,-1.00,-1.00,-1.00
Strife,39,S2 Games,S2 Games,1715294,887625,6778,3.20,-1.00,-1.00,-1.00
Aberoth,16,"Jarbit, Castle art by Yuriy Gusev",Jarbit,215063,117568,1564,1.53,-1.00,-1.00,-1.00
Bird of Light,,Roach Interactive,,5474,3650,0,18.00,-1.00,-1.00,-1.00
